testmaterial,resultrowid,analytegroup,analytesubgroup,program,parentproject,project,protocol,sampleagency,stationname,stationcode,waterbodytype,latitude,longitude,datum,sampledate,collectiontime,locationcode,collectiondepth,unitcollectiondepth,sampletype,collectionreplicate,resultreplicate,batch,labsampleid,matrix,method,analyte,fraction,unitname,result,mdl,rl,resultqualcode,qacode,batchverification,compliancecode,collectionmethod,collectiondevice,positionwatercolumn,preppreservation,preppreservationdate,digestextractmethod,digestextractdate,analysisdate,dilution_df,expectedvalue,labagency,submittingagency,labsubmissioncode,batchcomments,metadataurl,datedownloaded,sourcerdc,location
sediment,96B696A3-A3B3-48BA-BE92-D1F03DF5BFDA,Metals,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1993 RMP Status and Trends,RMP,AMS-CA,Horseshoe Bay (BC21),BC21,Bays and Harbors,37.831,-122.4775,wgs84,9/22/1993,0:00:00,OpenWater1,5,cm,Integrated,1,1,1993_09_BRL_SED,,sediment,Not Recorded,Mercury,Total,mg/kg dw,0.116,3.00E-06,3.00E-06,=,None,VLC,Com,Sed_Grab,Not Recorded,Bottom,FieldFrozen,1/1/1950,Not Recorded,1/1/1950,1/1/1950,1,,BR,Not Recorded,A,RMP ,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,central
sediment,0811A49B-2E1E-4237-ACED-B792AE9F21B7,Metals,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1993 RMP Status and Trends,RMP,AMS-CA,Horseshoe Bay (BC21),BC21,Bays and Harbors,37.831,-122.4775,wgs84,3/11/1993,0:00:00,OpenWater1,5,cm,Integrated,1,1,1993_03_BRL_SED,,sediment,Not Recorded,Mercury,Total,mg/kg dw,0.12722,3.00E-06,3.00E-06,=,None,VLC,Com,Sed_Grab,Not Recorded,Bottom,FieldFrozen,1/1/1950,Not Recorded,1/1/1950,1/1/1950,1,,BR,Not Recorded,A,RMP ,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,central
sediment,B4F206BB-734C-458E-8CA8-B9BD7386C0D7,Metals,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1993 RMP Status and Trends,RMP,AMS-CA,Yerba Buena Island (BC11),BC11,Bays and Harbors,37.82232768,-122.3492815,wgs84,3/11/1993,0:00:00,OpenWater1,5,cm,Integrated,1,1,1993_03_BRL_SED,,sediment,Not Recorded,Mercury,Total,mg/kg dw,0.21685,3.00E-06,3.00E-06,=,None,VLC,Com,Sed_Grab,Not Recorded,Bottom,FieldFrozen,1/1/1950,Not Recorded,1/1/1950,1/1/1950,1,,BR,Not Recorded,A,RMP ,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,central
sediment,0ADFC145-09F1-43AE-A17B-8693852FBC72,Metals,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1993 RMP Status and Trends,RMP,AMS-CA,Richardson Bay (BC32),BC32,Bays and Harbors,37.862,-122.479,wgs84,9/22/1993,0:00:00,OpenWater1,5,cm,Integrated,1,1,1993_09_BRL_SED,,sediment,Not Recorded,Mercury,Total,mg/kg dw,0.242,3.00E-06,3.00E-06,=,None,VLC,Com,Sed_Grab,Not Recorded,Bottom,FieldFrozen,1/1/1950,Not Recorded,1/1/1950,1/1/1950,1,,BR,Not Recorded,A,RMP ,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,central
sediment,C613E681-B6EE-4F13-9CB9-91CF608C18E8,Metals,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1993 RMP Status and Trends,RMP,AMS-CA,Point Isabel (BC41),BC41,Bays and Harbors,37.887,-122.343,wgs84,3/11/1993,0:00:00,OpenWater1,5,cm,Integrated,1,1,1993_03_BRL_SED,,sediment,Not Recorded,Mercury,Total,mg/kg dw,0.30239,3.00E-06,3.00E-06,=,None,VLC,Com,Sed_Grab,Not Recorded,Bottom,FieldFrozen,1/1/1950,Not Recorded,1/1/1950,1/1/1950,1,,BR,Not Recorded,A,RMP ,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,central
sediment,B49E493B-E1BE-4F3D-AF6E-7E5CAA80498A,Metals,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1993 RMP Status and Trends,RMP,AMS-CA,Point Isabel (BC41),BC41,Bays and Harbors,37.887,-122.343,wgs84,9/21/1993,0:00:00,OpenWater1,5,cm,Integrated,1,1,1993_09_BRL_SED,,sediment,Not Recorded,Mercury,Total,mg/kg dw,0.33,3.00E-06,3.00E-06,=,None,VLC,Com,Sed_Grab,Not Recorded,Bottom,FieldFrozen,1/1/1950,Not Recorded,1/1/1950,1/1/1950,1,,BR,Not Recorded,A,RMP ,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,central
sediment,5B90401D-CABC-447B-8EA6-7820586459B6,Metals,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1993 RMP Status and Trends,RMP,AMS-CA,Yerba Buena Island (BC11),BC11,Bays and Harbors,37.82232768,-122.3492815,wgs84,9/22/1993,0:00:00,OpenWater1,5,cm,Integrated,1,1,1993_09_BRL_SED,,sediment,Not Recorded,Mercury,Total,mg/kg dw,0.346,3.00E-06,3.00E-06,=,None,VLC,Com,Sed_Grab,Not Recorded,Bottom,FieldFrozen,1/1/1950,Not Recorded,1/1/1950,1/1/1950,1,,BR,Not Recorded,A,RMP ,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,central
sediment,C580DF5F-1E22-4608-9C91-B187F42B805C,Metals,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1993 RMP Status and Trends,RMP,AMS-CA,Richardson Bay (BC32),BC32,Bays and Harbors,37.862,-122.479,wgs84,3/11/1993,0:00:00,OpenWater1,5,cm,Integrated,1,1,1993_03_BRL_SED,,sediment,Not Recorded,Mercury,Total,mg/kg dw,0.40888,3.00E-06,3.00E-06,=,None,VLC,Com,Sed_Grab,Not Recorded,Bottom,FieldFrozen,1/1/1950,Not Recorded,1/1/1950,1/1/1950,1,,BR,Not Recorded,A,RMP ,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,central
sediment,A919F181-787F-47BD-8939-E67086B47267,Metals,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1994 RMP Status and Trends,RMP,AMS-CA,Red Rock (BC60),BC60,Bays and Harbors,37.918,-122.436,wgs84,8/26/1994,15:20:00,OpenWater1,5,cm,Integrated,1,1,1994_08_BRL_SED,,sediment,Not Recorded,Mercury,Total,mg/kg dw,0.0145,0.00036,0.00036,=,None,VLC,Com,Sed_Grab,Not Recorded,Bottom,FieldFrozen,1/1/1950,Not Recorded,1/1/1950,1/1/1950,1,,BR,Not Recorded,A,RMP ,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,central
sediment,B329ADF5-85FC-4451-AD8B-67D78A7E07BE,Metals,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1994 RMP Status and Trends,RMP,AMS-CA,Red Rock (BC60),BC60,Bays and Harbors,37.918,-122.436,wgs84,2/11/1994,14:20:00,OpenWater1,5,cm,Integrated,1,1,1994_02_BRL_SED,,sediment,Not Recorded,Mercury,Total,mg/kg dw,0.044,3.00E-06,3.00E-06,=,None,VLC,Com,Sed_Grab,Not Recorded,Bottom,FieldFrozen,1/1/1950,Not Recorded,1/1/1950,1/1/1950,1,,BR,Not Recorded,A,RMP ,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,central
sediment,BF2C7E86-B980-465A-B239-0232119FE729,Metals,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1994 RMP Status and Trends,RMP,AMS-CA,Horseshoe Bay (BC21),BC21,Bays and Harbors,37.831,-122.4775,wgs84,8/29/1994,9:00:00,OpenWater1,5,cm,Integrated,1,1,1994_08_BRL_SED,,sediment,Not Recorded,Mercury,Total,mg/kg dw,0.1935,0.00036,0.00036,=,None,VLC,Com,Sed_Grab,Not Recorded,Bottom,FieldFrozen,1/1/1950,Not Recorded,1/1/1950,1/1/1950,1,,BR,Not Recorded,A,RMP ,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,central
sediment,7DD98A3B-F552-4703-8BB4-5E3AA04E8624,Metals,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1994 RMP Status and Trends,RMP,AMS-CA,Horseshoe Bay (BC21),BC21,Bays and Harbors,37.831,-122.4775,wgs84,2/14/1994,9:50:00,OpenWater1,5,cm,Integrated,1,1,1994_02_BRL_SED,,sediment,Not Recorded,Mercury,Total,mg/kg dw,0.197,3.00E-06,3.00E-06,=,None,VLC,Com,Sed_Grab,Not Recorded,Bottom,FieldFrozen,1/1/1950,Not Recorded,1/1/1950,1/1/1950,1,,BR,Not Recorded,A,RMP ,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,central
sediment,1E467CD1-CB3C-4C6B-8865-1204DCDF5E6A,Metals,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1994 RMP Status and Trends,RMP,AMS-CA,Yerba Buena Island (BC11),BC11,Bays and Harbors,37.82232768,-122.3492815,wgs84,2/14/1994,14:20:00,OpenWater1,5,cm,Integrated,1,1,1994_02_BRL_SED,,sediment,Not Recorded,Mercury,Total,mg/kg dw,0.216,3.00E-06,3.00E-06,=,None,VLC,Com,Sed_Grab,Not Recorded,Bottom,FieldFrozen,1/1/1950,Not Recorded,1/1/1950,1/1/1950,1,,BR,Not Recorded,A,RMP ,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,central
sediment,18B7BE51-C671-4EC9-B794-A7F7DF62AD04,Metals,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1994 RMP Status and Trends,RMP,AMS-CA,Horseshoe Bay (BC21),BC21,Bays and Harbors,37.831,-122.4775,wgs84,2/14/1994,9:50:00,OpenWater1,5,cm,Integrated,1,3,1994_02_BRL_SED,,sediment,Not Recorded,Mercury,Total,mg/kg dw,0.235,3.00E-06,3.00E-06,=,None,VLC,Com,Sed_Grab,Not Recorded,Bottom,FieldFrozen,1/1/1950,Not Recorded,1/1/1950,1/1/1950,1,,BR,Not Recorded,A,RMP ,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,central
sediment,4B8D8CE8-6817-4D11-9D00-1FF99D23CEB5,Metals,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1994 RMP Status and Trends,RMP,AMS-CA,Horseshoe Bay (BC21),BC21,Bays and Harbors,37.831,-122.4775,wgs84,2/14/1994,9:50:00,OpenWater1,5,cm,Integrated,1,2,1994_02_BRL_SED,,sediment,Not Recorded,Mercury,Total,mg/kg dw,0.239,3.00E-06,3.00E-06,=,None,VLC,Com,Sed_Grab,Not Recorded,Bottom,FieldFrozen,1/1/1950,Not Recorded,1/1/1950,1/1/1950,1,,BR,Not Recorded,A,RMP ,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,central
sediment,23EEFFBB-E85D-448E-B82B-273858A00AA7,Metals,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1994 RMP Status and Trends,RMP,AMS-CA,Yerba Buena Island (BC11),BC11,Bays and Harbors,37.82232768,-122.3492815,wgs84,8/29/1994,15:30:00,OpenWater1,5,cm,Integrated,1,1,1994_08_BRL_SED,,sediment,Not Recorded,Mercury,Total,mg/kg dw,0.26294,0.00036,0.00036,=,None,VLC,Com,Sed_Grab,Not Recorded,Bottom,FieldFrozen,1/1/1950,Not Recorded,1/1/1950,1/1/1950,1,,BR,Not Recorded,A,RMP ,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,central
