testmaterial,resultrowid,analytegroup,analytesubgroup,program,parentproject,project,protocol,sampleagency,stationname,stationcode,waterbodytype,latitude,longitude,datum,sampledate,collectiontime,locationcode,sampletype,collectionreplicate,resultreplicate,batch,labsampleid,matrix,method,analyte,fraction,unitname,result,mdl,rl,resultqualcode,qacode,batchverification,compliancecode,collectionmethod,collectiondevice,preppreservation,preppreservationdate,digestextractmethod,digestextractdate,analysisdate,dilution_df,expectedvalue,labagency,submittingagency,labsubmissioncode,batchcomments,compositeid,compositetype,compositereplicate,commonname,species,compositetissueprep,numberfishpercomp,tissuename,weightavg_g,tlmin_mm,tlmax_mm,tlavglength_mm,metadataurl,datedownloaded,sourcerdc,location
tissue,BC119061-9D8A-4DCF-AA5C-60AD2939A48F,Metals,,Surface Water Ambient Monitoring Program,SWAMP Historic Bioaccumulation Data,State Mussel Watch Program,03SWSBIO,Not Recorded,Davis Point 1,206ST0364,Riv/Str_Unknown,38.0525,-122.26,nad83,6/5/1980,0:00:00,Not Recorded,Composite,1,1,NA,20133; SFEIRowID:223398,tissue,Not Recorded,Mercury,Total,ug/g dw,0.17,,,=,None,VQN,Com,Not Recorded,Not Recorded,Not Recorded,1/1/1950,Not Recorded,1/1/1950,1/1/1950,1,,Not Recorded,Not Recorded,QN,"Lab QA may have been performed, but information not provided",6/5/1980-206ST0364-12484-WNG,Normal,1,Bay Mussel,Mytilus edulis,Not Recorded,15,whole without gut,,,,,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,carq
tissue,0606658E-2D3C-4D8C-8AC2-3B61F01DD74E,Metals,,Surface Water Ambient Monitoring Program,SWAMP Historic Bioaccumulation Data,State Mussel Watch Program,03SWSBIO,Not Recorded,Davis Point 1,206ST0364,Riv/Str_Unknown,38.0525,-122.26,nad83,6/5/1980,0:00:00,Not Recorded,Composite,1,1,NA,20133; SFEIRowID:242892,tissue,Not Recorded,Mercury,Total,ug/g ww,0.0296,,,=,None,VQN,Com,Not Recorded,Not Recorded,Not Recorded,1/1/1950,Not Recorded,1/1/1950,1/1/1950,1,,Not Recorded,Not Recorded,QN,"Lab QA may have been performed, but information not provided",6/5/1980-206ST0364-12484-WNG,Normal,1,Bay Mussel,Mytilus edulis,Not Recorded,15,whole without gut,,,,,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,carq
tissue,29BE01C8-90AE-4A41-AAD4-FC915E1A2A1E,Metals,,Surface Water Ambient Monitoring Program,SWAMP Historic Bioaccumulation Data,State Mussel Watch Program,03SWSBIO,Not Recorded,Davis Point 1,206ST0364,Riv/Str_Unknown,38.0525,-122.26,nad83,12/7/1982,0:00:00,Not Recorded,Composite,1,1,NA,20386; SFEIRowID:223409,tissue,Not Recorded,Mercury,Total,ug/g dw,0.305,,,=,None,VQN,Com,Not Recorded,Not Recorded,Not Recorded,1/1/1950,Not Recorded,1/1/1950,1/1/1950,1,,Not Recorded,Not Recorded,QN,"Lab QA may have been performed, but information not provided",12/7/1982-206ST0364-12760-WNG,Normal,1,California Mussel,Mytilus californianus,Not Recorded,45,whole without gut,,,,,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,carq
tissue,17C086EE-3587-4B58-A1D3-A098E8DA67A4,Metals,,Surface Water Ambient Monitoring Program,SWAMP Historic Bioaccumulation Data,State Mussel Watch Program,03SWSBIO,Not Recorded,Davis Point 1,206ST0364,Riv/Str_Unknown,38.0525,-122.26,nad83,12/7/1982,0:00:00,Not Recorded,Composite,1,1,NA,20386; SFEIRowID:242903,tissue,Not Recorded,Mercury,Total,ug/g ww,0.0354,,,=,None,VQN,Com,Not Recorded,Not Recorded,Not Recorded,1/1/1950,Not Recorded,1/1/1950,1/1/1950,1,,Not Recorded,Not Recorded,QN,"Lab QA may have been performed, but information not provided",12/7/1982-206ST0364-12760-WNG,Normal,1,California Mussel,Mytilus californianus,Not Recorded,45,whole without gut,,,,,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,carq
tissue,2FD733C1-4B81-4D03-8FC6-FC8C5341C9DF,Metals,,Surface Water Ambient Monitoring Program,SWAMP Historic Bioaccumulation Data,State Mussel Watch Program,03SWSBIO,Not Recorded,Mare Island,206ST0853,Bays and Harbors,38.075,-122.2458,nad83,11/26/1985,0:00:00,Not Recorded,Composite,1,1,NA,22020; SFEIRowID:223358,tissue,Not Recorded,Mercury,Total,ug/g dw,0.273,,,=,None,VQN,Com,Not Recorded,Not Recorded,Not Recorded,1/1/1950,Not Recorded,1/1/1950,1/1/1950,1,,Not Recorded,Not Recorded,QN,"Lab QA may have been performed, but information not provided",11/26/1985-206ST0853-13170-WNG,Normal,1,California Mussel,Mytilus californianus,Not Recorded,45,whole without gut,,,,,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,carq
tissue,1C296C36-F9CD-4662-A7D9-F8F4A5EECA90,Metals,,Surface Water Ambient Monitoring Program,SWAMP Historic Bioaccumulation Data,State Mussel Watch Program,03SWSBIO,Not Recorded,Mare Island,206ST0853,Bays and Harbors,38.075,-122.2458,nad83,11/26/1985,0:00:00,Not Recorded,Composite,1,1,NA,22020; SFEIRowID:242852,tissue,Not Recorded,Mercury,Total,ug/g ww,0.0396,,,=,None,VQN,Com,Not Recorded,Not Recorded,Not Recorded,1/1/1950,Not Recorded,1/1/1950,1/1/1950,1,,Not Recorded,Not Recorded,QN,"Lab QA may have been performed, but information not provided",11/26/1985-206ST0853-13170-WNG,Normal,1,California Mussel,Mytilus californianus,Not Recorded,45,whole without gut,,,,,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,carq
tissue,F7D5483E-93B4-4739-B966-A0F1F461A10E,Metals,,Surface Water Ambient Monitoring Program,SWAMP Historic Bioaccumulation Data,State Mussel Watch Program,03SWSBIO,Not Recorded,Mare Island,206ST0853,Bays and Harbors,38.075,-122.2458,nad83,1/31/1985,0:00:00,Not Recorded,Composite,1,1,NA,21021; SFEIRowID:223349,tissue,Not Recorded,Mercury,Total,ug/g dw,0.396,,,=,None,VQN,Com,Not Recorded,Not Recorded,Not Recorded,1/1/1950,Not Recorded,1/1/1950,1/1/1950,1,,Not Recorded,Not Recorded,QN,"Lab QA may have been performed, but information not provided",1/31/1985-206ST0853-13039-WNG,Normal,1,Bay Mussel,Mytilus edulis,Not Recorded,45,whole without gut,,,,,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,carq
tissue,1D45AA25-5155-4192-8B37-698454D36396,Metals,,Surface Water Ambient Monitoring Program,SWAMP Historic Bioaccumulation Data,State Mussel Watch Program,03SWSBIO,Not Recorded,Mare Island,206ST0853,Bays and Harbors,38.075,-122.2458,nad83,1/31/1985,0:00:00,Not Recorded,Composite,1,1,NA,21021; SFEIRowID:242843,tissue,Not Recorded,Mercury,Total,ug/g ww,0.0539,,,=,None,VQN,Com,Not Recorded,Not Recorded,Not Recorded,1/1/1950,Not Recorded,1/1/1950,1/1/1950,1,,Not Recorded,Not Recorded,QN,"Lab QA may have been performed, but information not provided",1/31/1985-206ST0853-13039-WNG,Normal,1,Bay Mussel,Mytilus edulis,Not Recorded,45,whole without gut,,,,,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,carq
tissue,60940BE2-622C-4E8E-8460-D66CEB7E5574,Metals,,Surface Water Ambient Monitoring Program,SWAMP Historic Bioaccumulation Data,State Mussel Watch Program,03SWSBIO,Not Recorded,Mare Island,206ST0853,Bays and Harbors,38.075,-122.2458,nad83,1/14/1987,0:00:00,Not Recorded,Composite,1,1,NA,23022; SFEIRowID:223368,tissue,Not Recorded,Mercury,Total,ug/g dw,0.561,,,=,None,VQN,Com,Not Recorded,Not Recorded,Not Recorded,1/1/1950,Not Recorded,1/1/1950,1/1/1950,1,,Not Recorded,Not Recorded,QN,"Lab QA may have been performed, but information not provided",1/14/1987-206ST0853-13328-WNG,Normal,1,California Mussel,Mytilus californianus,Not Recorded,45,whole without gut,,,,,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,carq
tissue,6B74C60E-5CED-402C-918C-114A60395AEF,Metals,,Surface Water Ambient Monitoring Program,SWAMP Historic Bioaccumulation Data,State Mussel Watch Program,03SWSBIO,Not Recorded,Mare Island,206ST0853,Bays and Harbors,38.075,-122.2458,nad83,1/14/1987,0:00:00,Not Recorded,Composite,1,1,NA,23022; SFEIRowID:242862,tissue,Not Recorded,Mercury,Total,ug/g ww,0.056,,,=,None,VQN,Com,Not Recorded,Not Recorded,Not Recorded,1/1/1950,Not Recorded,1/1/1950,1/1/1950,1,,Not Recorded,Not Recorded,QN,"Lab QA may have been performed, but information not provided",1/14/1987-206ST0853-13328-WNG,Normal,1,California Mussel,Mytilus californianus,Not Recorded,45,whole without gut,,,,,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,carq
