testmaterial,resultrowid,analytegroup,analytesubgroup,program,parentproject,project,protocol,sampleagency,stationname,stationcode,waterbodytype,latitude,longitude,datum,sampledate,collectiontime,locationcode,collectiondepth,unitcollectiondepth,sampletype,collectionreplicate,resultreplicate,batch,labsampleid,matrix,method,analyte,fraction,unitname,result,mdl,rl,resultqualcode,qacode,batchverification,compliancecode,collectionmethod,collectiondevice,positionwatercolumn,preppreservation,preppreservationdate,digestextractmethod,digestextractdate,analysisdate,dilution_df,expectedvalue,labagency,submittingagency,labsubmissioncode,batchcomments,metadataurl,datedownloaded,sourcerdc,location
sediment,AA3BBC0A-28D0-42E5-AF95-067EF967E7E7,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1993 RMP Status and Trends,RMP,AMS-CA,Horseshoe Bay (BC21),BC21,Bays and Harbors,37.831,-122.4775,wgs84,9/22/1993,12:05:00,OpenWater1,5,cm,Integrated,1,1,1993-09-GERG-SED,,sediment,Not Recorded,Sum of 40 PCBs (SFEI),Total,ug/kg dw,1.80489,,,=,None,VLC,Com,Sed_Grab,Not Recorded,Bottom,FieldFrozen,1/1/1950,Not Recorded,1/1/1950,7/7/1994,1,,GERG,Not Recorded,A,RMP ,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,central
sediment,BB978B01-95AC-4B46-86DE-41B9F259A01D,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1993 RMP Status and Trends,RMP,AMS-CA,Richardson Bay (BC32),BC32,Bays and Harbors,37.862,-122.479,wgs84,3/11/1993,0:00:00,OpenWater1,5,cm,Integrated,1,1,1993-03-Risebrough-SED,,sediment,Not Recorded,Sum of 40 PCBs (SFEI),Total,ug/kg dw,7.753532,,,=,None,VLC,Com,Sed_Grab,Not Recorded,Bottom,FieldFrozen,1/1/1950,Not Recorded,1/1/1950,1/1/1950,1,,Risebrough,Not Recorded,A,RMP ,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,central
sediment,98C124D0-9914-4F8C-8425-14C7EBCABC8E,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1993 RMP Status and Trends,RMP,AMS-CA,Yerba Buena Island (BC11),BC11,Bays and Harbors,37.82232768,-122.3492815,wgs84,9/22/1993,17:20:00,OpenWater1,5,cm,Integrated,1,1,1993-09-GERG-SED,,sediment,Not Recorded,Sum of 40 PCBs (SFEI),Total,ug/kg dw,9.42755,,,=,None,VLC,Com,Sed_Grab,Not Recorded,Bottom,FieldFrozen,1/1/1950,Not Recorded,1/1/1950,7/8/1994,1,,GERG,Not Recorded,A,RMP ,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,central
sediment,E64C854D-D0CE-4774-A05A-14119F670DB8,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1993 RMP Status and Trends,RMP,AMS-CA,Horseshoe Bay (BC21),BC21,Bays and Harbors,37.831,-122.4775,wgs84,3/11/1993,0:00:00,OpenWater1,5,cm,Integrated,1,1,1993-03-Risebrough-SED,,sediment,Not Recorded,Sum of 40 PCBs (SFEI),Total,ug/kg dw,10.73368,,,=,None,VLC,Com,Sed_Grab,Not Recorded,Bottom,FieldFrozen,1/1/1950,Not Recorded,1/1/1950,1/1/1950,1,,Risebrough,Not Recorded,A,RMP ,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,central
sediment,EA2EA812-8EF2-4D29-AF91-76DF09D775AC,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1993 RMP Status and Trends,RMP,AMS-CA,Richardson Bay (BC32),BC32,Bays and Harbors,37.862,-122.479,wgs84,9/22/1993,11:00:00,OpenWater1,5,cm,Integrated,1,1,1993-09-GERG-SED,,sediment,Not Recorded,Sum of 40 PCBs (SFEI),Total,ug/kg dw,14.28813,,,=,None,VLC,Com,Sed_Grab,Not Recorded,Bottom,FieldFrozen,1/1/1950,Not Recorded,1/1/1950,7/8/1994,1,,GERG,Not Recorded,A,RMP ,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,central
sediment,8CBF561C-4422-4EBE-BAE8-417213869E1C,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1993 RMP Status and Trends,RMP,AMS-CA,Point Isabel (BC41),BC41,Bays and Harbors,37.887,-122.343,wgs84,3/11/1993,0:00:00,OpenWater1,5,cm,Integrated,1,1,1993-03-Risebrough-SED,,sediment,Not Recorded,Sum of 40 PCBs (SFEI),Total,ug/kg dw,20.412391,,,=,None,VLC,Com,Sed_Grab,Not Recorded,Bottom,FieldFrozen,1/1/1950,Not Recorded,1/1/1950,1/1/1950,1,,Risebrough,Not Recorded,A,RMP ,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,central
sediment,A964AA46-5ACB-45DE-9398-8626EC7F6EE0,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1993 RMP Status and Trends,RMP,AMS-CA,Yerba Buena Island (BC11),BC11,Bays and Harbors,37.82232768,-122.3492815,wgs84,3/11/1993,0:00:00,OpenWater1,5,cm,Integrated,1,1,1993-03-Risebrough-SED,,sediment,Not Recorded,Sum of 40 PCBs (SFEI),Total,ug/kg dw,33.452727,,,=,None,VLC,Com,Sed_Grab,Not Recorded,Bottom,FieldFrozen,1/1/1950,Not Recorded,1/1/1950,1/1/1950,1,,Risebrough,Not Recorded,A,RMP ,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,central
sediment,4A55C732-F77D-4AF4-AAB7-AA71A59F0F18,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1993 RMP Status and Trends,RMP,AMS-CA,Point Isabel (BC41),BC41,Bays and Harbors,37.887,-122.343,wgs84,9/21/1993,8:50:00,OpenWater1,5,cm,Integrated,1,1,1993-09-GERG-SED,,sediment,Not Recorded,Sum of 40 PCBs (SFEI),Total,ug/kg dw,39.69629,,,=,None,VLC,Com,Sed_Grab,Not Recorded,Bottom,FieldFrozen,1/1/1950,Not Recorded,1/1/1950,7/8/1994,1,,GERG,Not Recorded,A,RMP ,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,central
sediment,67D5BA84-6DE3-477B-92A1-D1D6BA4C2E0D,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1994 RMP Status and Trends,RMP,AMS-CA,Red Rock (BC60),BC60,Bays and Harbors,37.918,-122.436,wgs84,8/26/1994,0:00:00,OpenWater1,5,cm,Integrated,1,1,1994-08-GERG-SED,,sediment,Not Recorded,Sum of 40 PCBs (SFEI),Total,ug/kg dw,0.3255,,,=,None,VLC,Com,Sed_Grab,Not Recorded,Bottom,FieldFrozen,1/1/1950,Not Recorded,1/1/1950,11/9/1994,1,,GERG,Not Recorded,A,RMP ,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,central
sediment,468BD839-F75C-4B99-9C7B-E4C00966F732,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1994 RMP Status and Trends,RMP,AMS-CA,Red Rock (BC60),BC60,Bays and Harbors,37.918,-122.436,wgs84,2/11/1994,0:00:00,OpenWater1,5,cm,Integrated,1,1,1994-02-GERG-SED,,sediment,Not Recorded,Sum of 40 PCBs (SFEI),Total,ug/kg dw,0.61,,,=,None,VLC,Com,Sed_Grab,Not Recorded,Bottom,FieldFrozen,1/1/1950,Not Recorded,1/1/1950,4/29/1994,1,,GERG,Not Recorded,A,RMP ,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,central
