testmaterial,resultrowid,analytegroup,analytesubgroup,program,parentproject,project,protocol,sampleagency,stationname,stationcode,waterbodytype,latitude,longitude,datum,sampledate,collectiontime,locationcode,sampletype,collectionreplicate,resultreplicate,batch,labsampleid,matrix,method,analyte,fraction,unitname,result,mdl,rl,resultqualcode,qacode,batchverification,compliancecode,collectionmethod,collectiondevice,preppreservation,preppreservationdate,digestextractmethod,digestextractdate,analysisdate,dilution_df,expectedvalue,labagency,submittingagency,labsubmissioncode,batchcomments,compositeid,compositetype,compositereplicate,commonname,species,compositetissueprep,numberfishpercomp,tissuename,weightavg_g,tlmin_mm,tlmax_mm,tlavglength_mm,metadataurl,datedownloaded,sourcerdc,datausenotes
tissue,48D7FC70-66E2-48EE-9BF2-4CF037AA4B9C,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1993 RMP Status and Trends,RMP,AMS-CA,Grizzly Bay (BF20),BF20,Bays and Harbors,38.116,-122.04,wgs84,1993/10/07,00:00:00,OpenWater1,Composite,"1","1",Target,,tissue,Not Recorded,Sum of 40 PCBs (SFEI),Total,ng/g dw,215.295,0.145583333,0.145583333,=,None,VLC,Com,Bag_MNT,Container,FieldFrozen,1950/01/01,Not Recorded,1950/01/01,1994/07/14,1,,GERG,Not Recorded,A,RMP ,1993-10-Bivalves-BF20-PCB-CFLU-GERG,Normal,"1",Freshwater Clam,Corbicula fluminea,FieldFrozen,,whole organism,,,,,http://cd3.sfei.org/metadata.php,2020/11/27,SFEI,
tissue,943D2FDC-EB70-4413-971D-79932E4AF4F9,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1993 RMP Status and Trends,RMP,AMS-CA,Sacramento River (BG20),BG20,Bays and Harbors,38.05969966,-121.8112677,wgs84,1993/10/07,00:00:00,OpenWater1,Composite,"1","1",Target,,tissue,Not Recorded,Sum of 40 PCBs (SFEI),Total,ng/g dw,134.3819,0.1858,0.1858,=,None,VLC,Com,Tissue_Grab,Dredge,FieldFrozen,1950/01/01,Not Recorded,1950/01/01,1994/07/14,1,,GERG,Not Recorded,A,RMP ,1993-10-Bivalves-BG20-PCB-CFLU-GERG,Normal,"1",Freshwater Clam,Corbicula fluminea,FieldFrozen,,whole organism,,,,,http://cd3.sfei.org/metadata.php,2020/11/27,SFEI,
tissue,1E7BF61E-2B06-42A2-A6D6-F0537A042432,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1993 RMP Status and Trends,RMP,AMS-CA,San Joaquin River (BG30),BG30,Bays and Harbors,38.02054094,-121.806267,wgs84,1993/10/07,00:00:00,OpenWater1,Composite,"1","1",Target,,tissue,Not Recorded,Sum of 40 PCBs (SFEI),Total,ng/g dw,194.1465,0.131666667,0.131666667,=,None,VLC,Com,Tissue_Grab,Dredge,FieldFrozen,1950/01/01,Not Recorded,1950/01/01,1994/07/14,1,,GERG,Not Recorded,A,RMP ,1993-10-Bivalves-BG30-PCB-CFLU-GERG,Normal,"1",Freshwater Clam,Corbicula fluminea,FieldFrozen,,whole organism,,,,,http://cd3.sfei.org/metadata.php,2020/11/27,SFEI,
tissue,D48FEFA3-E855-48C4-8100-5D0FBB79E6D7,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1993 RMP Status and Trends,RMP,AMS-CA,Reference Site (T-0 Lake Isabella),T-0Isabella,Bays and Harbors,35.65,-118.48,wgs84,1993/06/28,00:00:00,OpenWater1,Composite,"1","1",Target,,tissue,Not Recorded,Sum of 40 PCBs (SFEI),Total,ng/g dw,34.0052,0.1576,0.1576,=,None,VLC,Com,Tissue_Grab,Not Recorded,FieldFrozen,1950/01/01,Not Recorded,1950/01/01,1994/07/13,1,,GERG,Not Recorded,A,RMP ,1993-10-Bivalves-T-0Isabella-PCB-CFLU-GERG,Normal,"1",Freshwater Clam,Corbicula fluminea,FieldFrozen,,whole organism,,,,,http://cd3.sfei.org/metadata.php,2020/11/27,SFEI,
tissue,2499748F-388F-4133-96A4-EA4366314A54,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1993 RMP Status and Trends,RMP,AMS-CA,Reference Site (T-0 Tomales Bay),T-0Tomales,Bays and Harbors,38.16,-122.89,wgs84,1993/06/28,00:00:00,SurfZone,Composite,"1","1",Target,,tissue,Not Recorded,Sum of 40 PCBs (SFEI),Total,ng/g dw,20.0631,0.13116,0.13116,=,None,VLC,Com,Tissue_Grab,Individual Collection by hand,FieldFrozen,1950/01/01,Not Recorded,1950/01/01,1994/07/13,1,,GERG,Not Recorded,A,RMP ,1993-10-Bivalves-T-0Tomales-PCB-CGIG-GERG,Normal,"1",Pacific Oyster,Crassostrea gigas,FieldFrozen,,whole organism,,,,,http://cd3.sfei.org/metadata.php,2020/11/27,SFEI,
tissue,B498167E-F221-4C81-A76B-769889246510,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1993 RMP Status and Trends,RMP,AMS-CA,Davis Point (BD40),BD40,Bays and Harbors,38.051,-122.278,wgs84,1993/10/07,00:00:00,OpenWater1,Composite,"1","1",Target,,tissue,Not Recorded,Sum of 40 PCBs (SFEI),Total,ng/g dw,192.8706,0.132915789,0.132915789,=,None,VLC,Com,Bag_MNT,Container,FieldFrozen,1950/01/01,Not Recorded,1950/01/01,1994/07/12,1,,GERG,Not Recorded,A,RMP ,1993-10-Bivalves-BD40-PCB-CGIG-GERG,Normal,"1",Pacific Oyster,Crassostrea gigas,FieldFrozen,,whole organism,,,,,http://cd3.sfei.org/metadata.php,2020/11/27,SFEI,
tissue,ED4F305A-9C0C-42A6-953D-D3DA8CBE9BB9,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1993 RMP Status and Trends,RMP,AMS-CA,Petaluma River (BD15),BD15,Riv/Str_Unknown,38.111,-122.487,wgs84,1993/10/06,00:00:00,OpenWater1,Composite,"1","1",Target,,tissue,Not Recorded,Sum of 40 PCBs (SFEI),Total,ng/g dw,165.6276,0.1302,0.1302,=,None,VLC,Com,Bag_MNT,Container,FieldFrozen,1950/01/01,Not Recorded,1950/01/01,1994/07/13,1,,GERG,Not Recorded,A,RMP ,1993-10-Bivalves-BD15-PCB-CGIG-GERG,Normal,"1",Pacific Oyster,Crassostrea gigas,FieldFrozen,,whole organism,,,,,http://cd3.sfei.org/metadata.php,2020/11/27,SFEI,
tissue,70946240-45B2-46BD-B7C1-2418E45740B5,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1993 RMP Status and Trends,RMP,AMS-CA,Napa River (BD50),BD50,Bays and Harbors,38.097,-122.261,wgs84,1993/10/06,00:00:00,OpenWater1,Composite,"1","1",Target,,tissue,Not Recorded,Sum of 40 PCBs (SFEI),Total,ng/g dw,232.9599,0.132905882,0.132905882,=,None,VLC,Com,Bag_MNT,Container,FieldFrozen,1950/01/01,Not Recorded,1950/01/01,1994/07/13,1,,GERG,Not Recorded,A,RMP ,1993-10-Bivalves-BD50-PCB-CGIG-GERG,Normal,"1",Pacific Oyster,Crassostrea gigas,FieldFrozen,,whole organism,,,,,http://cd3.sfei.org/metadata.php,2020/11/27,SFEI,
tissue,2B884C88-3A73-46AC-81DC-6369C0AE1F7E,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1993 RMP Status and Trends,RMP,AMS-CA,Petaluma River (BD15),BD15,Riv/Str_Unknown,38.111,-122.487,wgs84,1993/10/06,00:00:00,OpenWater1,Composite,"1","1",Target,,tissue,Not Recorded,Sum of 40 PCBs (SFEI),Total,ng/g dw,77.0828,0.1317,0.1317,=,None,VLC,Com,Bag_MNT,Container,FieldFrozen,1950/01/01,Not Recorded,1950/01/01,1994/07/13,1,,GERG,Not Recorded,A,RMP ,1993-10-Bivalves-BD15-PCB-MCAL-GERG,Normal,"1",California Mussel,Mytilus californianus,FieldFrozen,,whole organism,,,,,http://cd3.sfei.org/metadata.php,2020/11/27,SFEI,
tissue,DF17F07A-A2AF-4075-A13E-424D7B68AFD0,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1993 RMP Status and Trends,RMP,AMS-CA,Davis Point (BD40),BD40,Bays and Harbors,38.051,-122.278,wgs84,1993/10/07,00:00:00,OpenWater1,Composite,"1","1",Target,,tissue,Not Recorded,Sum of 40 PCBs (SFEI),Total,ng/g dw,66.8418,0.13316,0.13316,=,None,VLC,Com,Bag_MNT,Container,FieldFrozen,1950/01/01,Not Recorded,1950/01/01,1994/07/13,1,,GERG,Not Recorded,A,RMP ,1993-10-Bivalves-BD40-PCB-MCAL-GERG,Normal,"1",California Mussel,Mytilus californianus,FieldFrozen,,whole organism,,,,,http://cd3.sfei.org/metadata.php,2020/11/27,SFEI,
