testmaterial,resultrowid,analytegroup,analytesubgroup,program,parentproject,project,protocol,sampleagency,stationname,stationcode,waterbodytype,latitude,longitude,datum,sampledate,collectiontime,locationcode,sampletype,collectionreplicate,resultreplicate,batch,labsampleid,matrix,method,analyte,fraction,unitname,result,mdl,rl,resultqualcode,qacode,batchverification,compliancecode,collectionmethod,collectiondevice,preppreservation,preppreservationdate,digestextractmethod,digestextractdate,analysisdate,dilution_df,expectedvalue,labagency,submittingagency,labsubmissioncode,batchcomments,compositeid,compositetype,compositereplicate,commonname,species,compositetissueprep,numberfishpercomp,tissuename,weightavg_g,tlmin_mm,tlmax_mm,tlavglength_mm,metadataurl,datedownloaded,sourcerdc,location
tissue,146D5791-DD8B-4B2A-AA55-F262FE6A4DC9,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - FISH,2014 RMP FISH,RMP,MPSL-MLML,Carquinez Straits region,206CARQNZ,Bays and Harbors,38.04,-122.16,wgs84,8/5/2014,8:55:00,OpenWaterNet2,Composite,1,1,Target,L-041-15-31 ,tissue,EPA 8082M,Sum of 40 PCBs (SFEI),Total,ng/g ww,17.333,,,=,"H,NBC,NMDL,NRL",VMD,Qual,Net,"Gill Net 3""sq monofilament",FieldFrozen,6/23/2014,EPA 3545_3640A_3620B,7/6/2015,7/16/2015,1,,DFW-WPCL,DFW-WPCL,"A,MD",Diln.  Coeln.  HT.  Result from re-extract.  Hi MSD.  Cpd hi in MS/D RPD.   some blank contamination and recovery deviances found,C2_206SNPBLOSTB_14,Normal,1,Striped Bass,Morone saxatilis,Skin off,3,fillet,1600,488,598,539.6666667,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,carq
tissue,7AD64258-135A-4DAA-9F86-3D1D82FE7FB2,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - FISH,2014 RMP FISH,RMP,MPSL-MLML,Carquinez Straits region,206CARQNZ,Bays and Harbors,38.04,-122.16,wgs84,6/30/2014,9:24:00,MidChannelTrawl1,Composite,1,1,Target,L-041-15-13,tissue,EPA 8082M,Sum of 40 PCBs (SFEI),Total,ng/g ww,23.56,,,=,"NBC,NMDL,NRL",VMD,Qual,Trawl,Otter Trawl 16',FieldFrozen,6/30/2014,EPA 3545_3640A_3620B,5/5/2015,5/19/2015,1,,DFW-WPCL,DFW-WPCL,"A,MD",Diln.  Coeln.  HT.  Sample > 4x spk conc.  Low MS/D.  Low SRM. some blank contamination and recovery deviances found,C1_206CARQNZSHS_14,Normal,1,Shiner Surfperch,Cymatogaster aggregata,"Skin on, Scales Off",20,"whole without Head, Tail and Guts",24.217,80,1051,159.35,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,carq
tissue,532A3362-7590-4CBC-8C6E-05127F24FC15,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - FISH,2014 RMP FISH,RMP,MPSL-MLML,Carquinez Straits region,206CARQNZ,Bays and Harbors,38.04,-122.16,wgs84,6/30/2014,17:31:00,OpenWaterTrawl2,Composite,1,1,Target,L-041-15-38,tissue,EPA 8082M,Sum of 40 PCBs (SFEI),Total,ng/g ww,10.57,,,=,"NBC,NMDL,NRL",VMD,Qual,Trawl,Otter Trawl 16',FieldFrozen,6/1/2014,EPA 3545_3640A_3620B,5/5/2015,5/19/2015,1,,DFW-WPCL,DFW-WPCL,"A,MD",Diln.  Coeln.  HT.  Sample > 4x spk conc.  Low MS/D.  Low SRM. some blank contamination and recovery deviances found,C1_206CARQNZSCP_14,Normal,1,Pacific Staghorn Sculpin,Leptocottus armatus,"Skin on, Scales Off",8,"whole without Head, Tail and Guts",17.65,100,133,114.625,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,carq
tissue,F8957C94-6580-419A-A62B-84E2EE1FEFC4,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - FISH,1994 BPTCP FISH,RMP_FISH,MPSL-MLML,Islais Creek,2RMPIC,Bays and Harbors,37.74633333,-122.372,wgs84,5/4/1994,0:00:00,Location1Net1,Composite,1,1,Target,24008,tissue,Not Recorded,Sum of 40 PCBs (SFEI),Total,ng/g ww,68.969,,,=,None,NR,Qual,Not Recorded,Not Recorded,Not Recorded,1/1/1950,Not Recorded,1/1/1950,1/1/1950,-88,,HML,Not Recorded,NR,,5/4/19942RMPIC1265-FIL,Normal,1,Shiner Surfperch,Cymatogaster aggregata,"Skin on, Scales on",20,"whole without Head, Tail and Guts",,109,109,109,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,central
tissue,D65EF83D-BB59-4A96-96F8-3945A48D3FED,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - FISH,1994 BPTCP FISH,RMP_FISH,MPSL-MLML,Richmond Harbor,2RMPRH,Bays and Harbors,37.9105,-122.3488333,wgs84,5/10/1994,0:00:00,Location1Net1,Composite,1,1,Target,24004,tissue,Not Recorded,Sum of 40 PCBs (SFEI),Total,ng/g ww,105.175,,,=,None,NR,Qual,Not Recorded,Not Recorded,Not Recorded,1/1/1950,Not Recorded,1/1/1950,1/1/1950,-88,,HML,Not Recorded,NR,,5/10/19942RMPRH1248-FIL,Normal,1,Shiner Surfperch,Cymatogaster aggregata,"Skin on, Scales on",20,"whole without Head, Tail and Guts",,82,82,82,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,central
tissue,AEFF5E78-7E8B-49BB-BBCF-6C60A384B698,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - FISH,1994 BPTCP FISH,RMP_FISH,MPSL-MLML,Oakland Middle Harbor Pier,2RMPOIHP,Bays and Harbors,37.79316667,-122.3038333,wgs84,5/5/1994,0:00:00,Location1Net1,Composite,1,1,Target,24009,tissue,Not Recorded,Sum of 40 PCBs (SFEI),Total,ng/g ww,74.919,,,=,None,NR,Qual,Not Recorded,Not Recorded,Not Recorded,1/1/1950,Not Recorded,1/1/1950,1/1/1950,-88,,HML,Not Recorded,NR,,5/5/19942RMPOIHP1269-FIL,Normal,1,Shiner Surfperch,Cymatogaster aggregata,"Skin on, Scales on",20,"whole without Head, Tail and Guts",,122.5,122.5,122.5,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,central
tissue,C2834E20-96B6-40B1-BE5E-6BA53FD5E930,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - FISH,1994 BPTCP FISH,RMP_FISH,MPSL-MLML,Oakland Inner Harbor (Fruitvale),2RMPOIHF,Bays and Harbors,37.7685,-122.23,wgs84,5/6/1994,0:00:00,Location1Net1,Composite,1,1,Target,24006,tissue,Not Recorded,Sum of 40 PCBs (SFEI),Total,ng/g ww,243.652,,,=,None,NR,Qual,Not Recorded,Not Recorded,Not Recorded,1/1/1950,Not Recorded,1/1/1950,1/1/1950,-88,,HML,Not Recorded,NR,,5/6/19942RMPOIHF1254-FIL,Normal,1,Shiner Surfperch,Cymatogaster aggregata,"Skin on, Scales on",20,"whole without Head, Tail and Guts",,106.5,106.5,106.5,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,central
tissue,CF5FCBE6-9EB8-4243-9D58-CD6A18464794,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - FISH,1994 BPTCP FISH,RMP_FISH,MPSL-MLML,Berkeley Pier-2RMPBERP,2RMPBERP,Bays and Harbors,37.86516667,-122.3211667,wgs84,5/9/1994,0:00:00,Pier1,Composite,1,1,Target,24005,tissue,Not Recorded,Sum of 40 PCBs (SFEI),Total,ng/g ww,79.95,,,=,None,NR,Qual,Not Recorded,Not Recorded,Not Recorded,1/1/1950,Not Recorded,1/1/1950,1/1/1950,-88,,HML,Not Recorded,NR,,5/9/19942RMPBERP1250-FIL,Normal,1,Shiner Surfperch,Cymatogaster aggregata,"Skin on, Scales on",20,"whole without Head, Tail and Guts",,108.5,108.5,108.5,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,central
tissue,431C51BE-1264-4984-BC12-0D65C20BBE43,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - FISH,1994 BPTCP FISH,RMP_FISH,MPSL-MLML,Richmond Harbor,2RMPRH,Bays and Harbors,37.9105,-122.3488333,wgs84,5/10/1994,0:00:00,Location1Net1,Composite,1,1,Target,24004,tissue,Not Recorded,Sum of 40 PCBs (SFEI),Total,ng/g ww,89.419,,,=,None,NR,Qual,Not Recorded,Not Recorded,Not Recorded,1/1/1950,Not Recorded,1/1/1950,1/1/1950,-88,,HML,Not Recorded,NR,,5/10/19942RMPRH1247-FIL,Normal,1,Shiner Surfperch,Cymatogaster aggregata,"Skin on, Scales on",20,"whole without Head, Tail and Guts",,91.5,91.5,91.5,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,central
tissue,1EBBE2D7-9B5D-4E83-B692-5E0CD82308F2,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - FISH,1994 BPTCP FISH,RMP_FISH,MPSL-MLML,Berkeley Pier-2RMPBERP,2RMPBERP,Bays and Harbors,37.86516667,-122.3211667,wgs84,5/9/1994,0:00:00,Pier1,Composite,1,1,Target,24005,tissue,Not Recorded,Sum of 40 PCBs (SFEI),Total,ng/g ww,46.883,,,=,None,NR,Qual,Not Recorded,Not Recorded,Not Recorded,1/1/1950,Not Recorded,1/1/1950,1/1/1950,-88,,HML,Not Recorded,NR,,5/9/19942RMPBERP1252-FIL,Normal,1,Shiner Surfperch,Cymatogaster aggregata,"Skin on, Scales on",20,"whole without Head, Tail and Guts",,82,82,82,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,central
